context,gold,pred0,pred1,pred2,pred3,pred4
"With <anteced> their </anteced> unique charm ,",these well - known cartoon images,they,the two men's,they,the girls,they
"With their unique charm , these well - known cartoon images once again caused Hong Kong to be a focus of worldwide attention . The world 's fifth <anteced> Disney </anteced> park will soon open to the public here . The most important thing about",Disney,the park,that park,that,this,the new park
"With their unique charm , these well - known cartoon images once again caused Hong Kong to be a focus of worldwide attention . The world 's fifth <anteced> Disney </anteced> park will soon open to the public here . The most important thing about Disney is that",it,it,it,it,they,it
"With their unique charm , these well - known cartoon images once again caused Hong Kong to be a focus of worldwide attention . The world 's fifth Disney park will soon open to the public here . The most important thing about <anteced> Disney </anteced> is that",it,it,the park,it,it,they
"With their unique charm , these well - known cartoon images once again caused Hong Kong to be a focus of worldwide attention . <anteced> The world 's fifth Disney park </anteced> will soon open to the public here . The most important thing about Disney is that it is a global brand . Well , for several years , although",it,Hong Kong,its,the parks,it,its
"<anteced> The world 's fifth Disney park </anteced> will soon open to the public here . The most important thing about Disney is that it is a global brand . Well , for several years , although it was still under construction and , er , not yet open , it can be said that many people have viewed Hong Kong with new respect . Then welcome to the official writing ceremony of",Hong Kong Disneyland,the UN,this park,the Universal City,Hong Kong,Hong Kong's
"The world 's fifth Disney park will soon open to the public here . The most important thing about Disney is that it is a global brand . Well , for several years , although <anteced> it </anteced> was still under construction and , er , not yet open , it can be said that many people have viewed Hong Kong with new respect . Then welcome to the official writing ceremony of",Hong Kong Disneyland,the company,the park,its,the new park,this historic city
"<anteced> The world 's fifth Disney park </anteced> will soon open to the public here . The most important thing about Disney is that it is a global brand . Well , for several years , although it was still under construction and , er , not yet open , it can be said that many people have viewed Hong Kong with new respect . Then welcome to the official writing ceremony of Hong Kong Disneyland . The construction of",Hong Kong Disneyland,Hair,the park,thepark,this park,it
"The world 's fifth Disney park will soon open to the public here . The most important thing about Disney is that it is a global brand . Well , for several years , although it was still under construction and , er , not yet open , it can be said that many people have viewed Hong Kong with new respect . Then welcome to the official writing ceremony of <anteced> Hong Kong Disneyland </anteced> . The construction of",Hong Kong Disneyland,the park,the park,the park,the park,the park
"The world 's fifth Disney park will soon open to the public here . The most important thing about Disney is that it is a global brand . Well , for several years , although <anteced> it </anteced> was still under construction and , er , not yet open , it can be said that many people have viewed Hong Kong with new respect . Then welcome to the official writing ceremony of Hong Kong Disneyland . The construction of",Hong Kong Disneyland,the park,this,the park,Hollywood,this park
"The most important thing about Disney is that it is a global brand . Well , for several years , although it was still under construction and , er , not yet open , it can be said that many people have viewed Hong Kong with new respect . Then welcome to the official writing ceremony of Hong Kong Disneyland . The construction of Hong Kong Disneyland began two years ago , in <anteced> 2003 </anteced> . In January of",that year,2005,2003,2003,this year,2005
"The construction of Hong Kong Disneyland began two years ago , in 2003 . In January of that year , the Hong Kong government turned over to Disney Corporation 200 hectares of land at the foot of Lantau Island that was obtained following the largest land reclamation project in recent years . One . Since then , <anteced> this area </anteced> has become a prohibited zone in Hong Kong . As",its,it,it,it,this area,it
"The construction of Hong Kong Disneyland began two years ago , in 2003 . In January of that year , the Hong Kong government turned over to Disney Corporation 200 hectares of land at the foot of <anteced> Lantau Island </anteced> that was obtained following the largest land reclamation project in recent years . One . Since then , this area has become a prohibited zone in Hong Kong . As its neighbor on",Lantau Island,Lantau Island,Lantau Island,Lantau Island,Lantau Island,Lantau
"In January of that year , the Hong Kong government turned over to Disney Corporation 200 hectares of land at the foot of Lantau Island that was obtained following the largest land reclamation project in recent years . One . Since then , this area has become a prohibited zone in Hong Kong . As its neighbor on Lantau Island , <anteced> Hong Kong International Airport </anteced> had to change",its,its,its,its,its,its
"In January of that year , the Hong Kong government turned over to Disney Corporation 200 hectares of land at the foot of Lantau Island that was obtained following the largest land reclamation project in recent years . One . Since then , <anteced> this area </anteced> has become a prohibited zone in Hong Kong . As its neighbor on Lantau Island , Hong Kong International Airport had to change its flight routes to make",this area,the area,it,it,its,it
"In January of that year , the Hong Kong government turned over to Disney Corporation 200 hectares of land at the foot of Lantau Island that was obtained following the largest land reclamation project in recent years . One . Since then , this area has become a prohibited zone in Hong Kong . As <anteced> its </anteced> neighbor on Lantau Island , Hong Kong International Airport had to change its flight routes to make",this area,its,its,it,its,its
"There 's only one month left before the opening of Hong Kong Disneyland on <anteced> September 12 </anteced> . The subway to Disney has already been constructed . At subway stations , passengers will frequently press the station for Disney on ticket machines , trying to purchase tickets to enjoy the park when it first opens . Meanwhile , the Disney subway station is scheduled to open on",the same day as the park,September 13,September 12,September 12,September 12,September 13
"Meanwhile , the Disney subway station is scheduled to open on the same day as the park . For two years , Disney has constantly maintained its mystery . No media have been allowed to enter for photos . We took <anteced> a taxi </anteced> along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight ,",the car,I,the taxi,it,the taxi,the taxi
"For two years , Disney has constantly maintained its mystery . No media have been allowed to enter for photos . <anteced> We </anteced> took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by a security guard at the intersection of the road towards Disney . On",our,our,our,the road,their,our
"No media have been allowed to enter for photos . <anteced> We </anteced> took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by a security guard at the intersection of the road towards Disney . On our way back , the taxi driver gave",us,our,our,we,us,us
"No media have been allowed to enter for photos . We took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by a security guard at the intersection of the road towards Disney . On <anteced> our </anteced> way back , the taxi driver gave",us,us,our,us,us,our
"No media have been allowed to enter for photos . <anteced> We </anteced> took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by a security guard at the intersection of the road towards Disney . On our way back , the taxi driver gave us an explanation after understanding",our,the problem,we,our,the travelers,our
"No media have been allowed to enter for photos . We took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by a security guard at the intersection of the road towards Disney . On our way back , the taxi driver gave <anteced> us </anteced> an explanation after understanding",our,it,us,us,our,me
"No media have been allowed to enter for photos . We took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by a security guard at the intersection of the road towards Disney . On <anteced> our </anteced> way back , the taxi driver gave us an explanation after understanding",our,our,we,our,we,the situation
"We took a taxi along the path of the highway that heads toward Disney , trying to experience this mysterious park from close by . However , before any of the Disney symbols were in sight , the car was stopped by <anteced> a security guard </anteced> at the intersection of the road towards Disney . On our way back , the taxi driver gave us an explanation after understanding our intentions . Er , according to what",the security guard,he,his,the guards,the guard,he
"Every corner of <anteced> Hong Kong </anteced> is filled with fun . Meanwhile , as various new items are constantly being added , what other kinds of pleasant surprises will the",Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong
"Every corner of <anteced> Hong Kong </anteced> is filled with fun . Meanwhile , as various new items are constantly being added , what other kinds of pleasant surprises will the Hong Kong tourism industry bring us ? Over the past 28 years , the Ocean Park has basically been a must - see destination for tourists coming to",Hong Kong,Hong Kong,Hong Kong,the island,Hong Kong,Hong Kong
"Every corner of Hong Kong is filled with fun . Meanwhile , as various new items are constantly being added , what other kinds of pleasant surprises will the <anteced> Hong Kong </anteced> tourism industry bring us ? Over the past 28 years , the Ocean Park has basically been a must - see destination for tourists coming to",Hong Kong,Hong Kong,the Hong Kong,Hong Kong,Hong Kong,Hong Kong
"Or ride the giant Ferris wheel to get a bird 's eye view from high above of the magnificent panorama of Hong Kong Island and the South China Sea . These items , which were the pride of the Ocean Park , have made this place the most popular tourist attraction in Hong Kong for some time . However , since <anteced> Disney </anteced> entered Hong Kong , the Ocean Park , sharing the same city as",Disney,their,its,you,their,the mainland
"It seems that for the future , we have a scheme , a major renovation plan . That is , the entire park will be divided into seven sections for renovation . Ah , additional , newer , ah , attractions will be available for tourists . It seems that those attractions like the North Pole and the Marine Life Center will also be renovated after several years . Are <anteced> they </anteced> going to be different from what",they,they,they,they,they,they
"That is , the entire park will be divided into seven sections for renovation . Ah , additional , newer , ah , attractions will be available for tourists . It seems that those attractions like the North Pole and the Marine Life Center will also be renovated after several years . Are <anteced> they </anteced> going to be different from what they are now ?",They,They,They,They,They,They
"That is , the entire park will be divided into seven sections for renovation . Ah , additional , newer , ah , attractions will be available for tourists . It seems that those attractions like the North Pole and the Marine Life Center will also be renovated after several years . Are they going to be different from what <anteced> they </anteced> are now ?",They,They,They,They,They,Their
"The population is dense . Natural resources are relatively scarce . However , <anteced> the clever Hong Kong people </anteced> will utilize all resources",they,their,they,they,they,they
"The population is dense . Natural resources are relatively scarce . However , the clever Hong Kong people will utilize <anteced> all resources they have created </anteced> for developing the Hong Kong tourism industry . Among",these,these resources,their,these resources,these resources,these
"Entering Hollywood of the East , here , you can come up close with the stars in your mind . He is my . She is my Goddess , ah . Please stay with us on New World Travel . Hong Kong has always worn the crown of Hollywood of the East . Over the past 100 years of film history , <anteced> Hong Kong cinema </anteced> has nurtured many internationally renowned directors , actors , and screenwriters .",They,Hong Kong's,Its,It,Its,This
"For this reason , in 2004 , on the Waterfront Promenade originally constructed for viewing only the scenery of Hong Kong Island and Victoria Harbor , the Hong Kong Tourism Board also constructed the Avenue of Stars , memorializing <anteced> Hong Kong 's 100 - year film history </anteced> . Here , tourists can learn about",Hong Kong 's film history,"the Great Tsunami, his flashiest lightning strike",the history,the history of Hong Kong,Hong Kong's,the city's 100 - year history
"For this reason , in 2004 , on the Waterfront Promenade originally constructed for viewing only the scenery of Hong Kong Island and Victoria Harbor , the Hong Kong Tourism Board also constructed the Avenue of Stars , memorializing Hong Kong 's 100 - year film history . Here , <anteced> tourists </anteced> can learn about Hong Kong 's film history , and can come up close with the stars in",their,their,their,their,their,their
"Even at dusk , the city 's pulse never stops beating . Across from the Avenue of Stars , a special performance is staged every weekend . %pw As <anteced> our Victoria Harbor </anteced> is %pw very famous , and , er , our nightscape is already very beautiful , by what means could we enhance the dynamic beauty of our nightscape ? So , one idea was to transform",Victoria Harbor,our city,our Vancouver Harbor,our apartment,the harbour,our city
"Let me now introduce to you all the well - known skyscrapers participating in this large - scale light and music show . The PLA Hong Kong Garrison Plaza , Bank of China Tower , at 8:00 every Saturday night , HSBC Main Building . Their performances will be on schedule . Center of the East Central . <anteced> Ten landmark buildings located on Hong Kong Island </anteced> reveal",themselves,their,their,their,their,themselves
"Let me now introduce to you all the well - known skyscrapers participating in <anteced> this large - scale light and music show </anteced> . The PLA Hong Kong Garrison Plaza , Bank of China Tower , at 8:00 every Saturday night , HSBC Main Building . Their performances will be on schedule . Center of the East Central . Ten landmark buildings located on Hong Kong Island reveal themselves one by one , participating in",the show,this large - scale jazz show,this large - scale light and music show,the concert,this big - scale space's,this big - scale light and music show
"Their performances will be on schedule . Center of the East Central . Ten landmark buildings located on Hong Kong Island reveal themselves one by one , participating in the show in full splendor , presenting a world - class light extravaganza to a musical rhythm . Whenever there is a major event or holiday , fireworks are also added to the light show . <anteced> Some , er , cities </anteced> have consulted with us . Uh-huh .",Their,These cities,The past five years <anaphor>them,They,Hong Kong Island,All the places
"Hong Kong Wetland Park covers an area of 61 hectares , including a 10,000 square meter visitor 's center and a 60 hectare outdoor wildlife habitat . In the indoor exhibition hall , <anteced> tourists </anteced> can learn about types of wetlands in various parts of the world , and to gain knowledge about wetlands . Outdoors ,",they,they,they,the visitors,they,they
"Ha , on that side are many tall buildings , that is , towns with lots of people living there , but behind me is our Wetland Park . Ha , entirely different . Quite primitive , er , a fresh water swamp , er , the Wetland Park Exploration Center . Lastly , farthest away you can see Putian of <anteced> Shenzhen </anteced> . Then , , on the bridge is Hong Kong and outside is",Shenzhen,the Shenzhen,Shenzhen,the first port of destination,the Fluke Security Bureau,the Singapore part of
"Ah , the most special is rice , because %pw many Hong Kong children nowadays have never seen what rice looks like . Look over there . They are going to be ripe soon . The long one over there . Oh . Yes . , with ears , ah . Where ? Ah , here . Perhaps there will be an introduction so that <anteced> children </anteced> will know the names of the crops when",they,they,they,they,they,they
"Ah , the most special is rice , because %pw many Hong Kong children nowadays have never seen what rice looks like . Look over there . They are going to be ripe soon . The long one over there . Oh . Yes . , with ears , ah . Where ? Ah , here . Perhaps there will be an introduction so that children will know the names of <anteced> the crops </anteced> when they see",them,them,them,them,them,their
"Look over there . They are going to be ripe soon . The long one over there . Oh . Yes . , with ears , ah . Where ? Ah , here . Perhaps there will be an introduction so that <anteced> children </anteced> will know the names of the crops when they see them . , let",them,them,them,they,them,them
"Look over there . They are going to be ripe soon . The long one over there . Oh . Yes . , with ears , ah . Where ? Ah , here . Perhaps there will be an introduction so that children will know the names of the crops when <anteced> they </anteced> see them . , let",them,them,them,they,they,them
"Each year , over 50,000 migratory birds fly over Hong Kong 's skyscrapers and choose to roost for winter here . As a result , <anteced> three different types of aviaries </anteced> were built in Hong Kong Wetland Park .",These,These,One,The two biggest suitcases were these'Jumbo - size,These,"One of <anaphor>the original teams, consisting of <anaphor>them"
"Each year , over 50,000 migratory birds fly over Hong Kong 's skyscrapers and choose to roost for winter here . As a result , three different types of aviaries were built in Hong Kong Wetland Park . These have become the best spots to observe birds . Among common birds , <anteced> a rather special one </anteced> is the black - faced spoonbill .",It,It,This,It,This,This species
"As a result , three different types of aviaries were built in Hong Kong Wetland Park . These have become the best spots to observe birds . Among common birds , a rather special one is the black - faced spoonbill . It is an endangered bird species throughout <anteced> the world </anteced> . Uh-huh . Ah , there are only about 1,500 in",the world,the world,the world,Hong Kong's,Hong Kong,the world
"These have become the best spots to observe birds . Among common birds , a rather special one is the black - faced spoonbill . It is an endangered bird species throughout the world . Uh-huh . Ah , there are <anteced> only about 1,500 in the world </anteced> . Wow . Um , however , each year , about two to three hundred of",them,the species,those species,the birds,the black - faced spoonbill's wing wing,that number
